Virtual_Realm,Operator,DSC_Peer,Hostname,SCTP_IP,Pingable,WorkMode,Customer_Contact
,Telecel Zimbabwe (PVT) Ltd,148_HRE_MME1,mme1.epc.mnc003.mcc648.3gppnetwork.org,"41.79.57.72,41.79.57.73",YES,Active,roaming@telecelzim.co.zw
epc.mnc003.mcc648.3gppnetwork.org&#160;,Telecel Zimbabwe (PVT) Ltd,202_HRE_HSS,hss1.epc.mnc003.mcc648.3gppnetwork.org ,"41.79.57.145,41.79.57.146",YES,Active,roaming@telecelzim.co.zw
,Telecel Zimbabwe (PVT) Ltd,202_HRE_MME2,mme2.epc.mnc003.mcc648.3gppnetwork.org,"41.79.57.136,41.79.57.137",YES,Active,roaming@telecelzim.co.zw
,Two Degrees Mobile Limited,2Degree-MMEC8B-MME,mmecb8.mmegi8001.mme.epc.mnc024.mcc530.3gppnetwork.org,118.149.4.30,NO,Active,Peter.Harrison@2degrees.nz;Prashant.Singh@2degrees.nz;internationalroaming@2degrees.nz
,Two Degrees Mobile Limited,2Degree-MMECB0-MME,mmecb0.mmegi8001.mme.epc.mnc024.mcc530.3gppnetwork.org,118.148.4.30,NO,Active,Peter.Harrison@2degrees.nz;Prashant.Singh@2degrees.nz;internationalroaming@2degrees.nz
epc.mnc024.mcc530.3gppnetwork.org,Two Degrees Mobile Limited,2Degrees-Dra01ham-DEA,dra01ham.epc.mnc024.mcc530.3gppnetwork.org,118.149.10.10,NO,Active,Peter.Harrison@2degrees.nz;Prashant.Singh@2degrees.nz;internationalroaming@2degrees.nz
epc.mnc024.mcc530.3gppnetwork.org,Two Degrees Mobile Limited,2Degrees-Dra01kpr-DEA,dra01kpr.epc.mnc024.mcc530.3gppnetwork.org,118.148.10.10,NO,Active,Peter.Harrison@2degrees.nz;Prashant.Singh@2degrees.nz;internationalroaming@2degrees.nz
epc.mnc005.mcc619.3gppnetwork.org,Africell Sierra Leone,Africell-fthss01-hss,fthss01.epc.mnc005.mcc619.3gppnetwork.org,"41.223.132.98,41.223.132.99",YES,Active,chaddad@africell.sl;moayoub@africell.sl;hjaber@africell.sl;emema@africell.com;mdarwiche@africell.sl;barjeily@africell.sl;nmatar@africell.com
,Africell Sierra Leone,Africell-ftmme01-mme,ftmme01.epc.mnc005.mcc619.3gppnetwork.org,"41.223.132.96,41.223.132.97",NO,Active,chaddad@africell.sl;moayoub@africell.sl;hjaber@africell.sl;emema@africell.com;mdarwiche@africell.sl;barjeily@africell.sl;nmatar@africell.com
,Bharti Airtel India,Airtel-4D-MME,mmec20.mmegi8001.mme.epc.mnc092.mcc404.3gppnetwork.org,"223.224.116.165,223.224.116.166",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-south-hss-realm,Bharti Airtel India,Airtel-AP-HSS,hsshyd201.epc.mnc049.mcc404.3gppnetwork.org,223.224.66.79,YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-AP-MME1,airtelapgsn02.epc.mnc049.mcc404.3gppnetwork.org,"223.224.118.193,223.224.118.195",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-AP-MME2,airtelapgsn03.epc.mnc049.mcc404.3gppnetwork.org,"223.224.118.197,223.224.118.199",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
